@relation biodiversitySpreadsheets_whithoutWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
358,42,854,746,0.53375,0.895,0.29538,0.895,0.70462,0.444169,0.606,1.476898,0.034095
358,42,853,747,0.533125,0.895,0.295623,0.895,0.704377,0.444444,0.6055,1.478117,0.0343
358,42,852,748,0.5325,0.895,0.295868,0.895,0.704132,0.44472,0.605,1.479339,0.034917
358,42,851,749,0.531875,0.895,0.296112,0.895,0.703888,0.444997,0.6045,1.480562,0.035
358,42,850,750,0.53125,0.895,0.296358,0.895,0.703642,0.445274,0.604,1.481788,0.035373
358,42,840,760,0.525,0.895,0.298831,0.895,0.701169,0.44806,0.599,1.494157,0.035417
358,42,839,761,0.524375,0.895,0.299081,0.895,0.700919,0.448341,0.5985,1.495405,0.035607
358,42,837,763,0.523125,0.895,0.299582,0.895,0.700418,0.448903,0.5975,1.497908,0.035711
358,42,835,765,0.521875,0.895,0.300084,0.895,0.699916,0.449466,0.5965,1.500419,0.035853
358,42,834,766,0.52125,0.895,0.300336,0.895,0.699664,0.449749,0.596,1.501678,0.036471
358,42,823,777,0.514375,0.895,0.303133,0.895,0.696867,0.452878,0.5905,1.515665,0.036972
358,42,822,778,0.51375,0.895,0.30339,0.895,0.69661,0.453165,0.59,1.516949,0.037035
357,43,821,779,0.513125,0.8925,0.303056,0.8925,0.696944,0.452471,0.589,1.51528,0.037714
357,43,820,780,0.5125,0.8925,0.303314,0.8925,0.696686,0.452758,0.5885,1.516568,0.038
357,43,819,781,0.511875,0.8925,0.303571,0.8925,0.696429,0.453046,0.588,1.517857,0.038929
357,43,818,782,0.51125,0.8925,0.30383,0.8925,0.69617,0.453333,0.5875,1.519149,0.039714
357,43,817,783,0.510625,0.8925,0.304089,0.8925,0.695911,0.453621,0.587,1.520443,0.03986
356,44,817,783,0.510625,0.89,0.303495,0.89,0.696505,0.452638,0.5865,1.517477,0.039893
356,44,816,784,0.51,0.89,0.303754,0.89,0.696246,0.452926,0.586,1.518771,0.04
356,44,814,786,0.50875,0.89,0.304274,0.89,0.695726,0.453503,0.585,1.521368,0.04
356,44,806,794,0.50375,0.89,0.306368,0.89,0.693632,0.455826,0.581,1.531842,0.04
356,44,805,795,0.503125,0.89,0.306632,0.89,0.693368,0.456118,0.5805,1.533161,0.040161
356,44,804,796,0.5025,0.89,0.306897,0.89,0.693103,0.45641,0.58,1.534483,0.041013
356,44,803,797,0.501875,0.89,0.307161,0.89,0.692839,0.456703,0.5795,1.535807,0.04125
356,44,802,798,0.50125,0.89,0.307427,0.89,0.692573,0.456996,0.579,1.537133,0.0415
356,44,801,799,0.500625,0.89,0.307692,0.89,0.692308,0.45729,0.5785,1.538462,0.044
356,44,799,801,0.499375,0.89,0.308225,0.89,0.691775,0.457878,0.5775,1.541126,0.045
356,44,798,802,0.49875,0.89,0.308492,0.89,0.691508,0.458172,0.577,1.542461,0.04574
356,44,797,803,0.498125,0.89,0.30876,0.89,0.69124,0.458467,0.5765,1.543799,0.045754
356,44,796,804,0.4975,0.89,0.309028,0.89,0.690972,0.458763,0.576,1.545139,0.045773
356,44,795,805,0.496875,0.89,0.309296,0.89,0.690704,0.459059,0.5755,1.546481,0.04603
356,44,794,806,0.49625,0.89,0.309565,0.89,0.690435,0.459355,0.575,1.547826,0.046066
356,44,793,807,0.495625,0.89,0.309835,0.89,0.690165,0.459651,0.5745,1.549173,0.046728
356,44,792,808,0.495,0.89,0.310105,0.89,0.689895,0.459948,0.574,1.550523,0.047611
356,44,790,810,0.49375,0.89,0.310646,0.89,0.689354,0.460543,0.573,1.553229,0.048071
356,44,789,811,0.493125,0.89,0.310917,0.89,0.689083,0.460841,0.5725,1.554585,0.048735
356,44,787,813,0.491875,0.89,0.311461,0.89,0.688539,0.461439,0.5715,1.557305,0.049965
356,44,786,814,0.49125,0.89,0.311734,0.89,0.688266,0.461738,0.571,1.558669,0.05
355,45,784,816,0.49,0.8875,0.311677,0.8875,0.688323,0.461339,0.5695,1.558385,0.05
353,47,777,823,0.485625,0.8825,0.312389,0.8825,0.687611,0.461438,0.565,1.561947,0.050417
353,47,776,824,0.485,0.8825,0.312666,0.8825,0.687334,0.46174,0.5645,1.56333,0.050833
353,47,775,825,0.484375,0.8825,0.312943,0.8825,0.687057,0.462042,0.564,1.564716,0.05146
353,47,770,830,0.48125,0.8825,0.314337,0.8825,0.685663,0.463559,0.5615,1.571683,0.05183
