@RELATION biodiversitySpreadsheets_TestSetWithoutWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,taxonIdentification,spOccurrence,geneData,spMonitoring}

@DATA
3.00,0.00,2.00,0.00,2.00,5.00,spMonitoring
6.00,0.00,0.00,0.00,1.00,1.00,spMonitoring
4.00,0.00,0.00,1.00,1.00,2.00,spMonitoring
6.00,1.00,0.00,2.00,0.00,4.00,spMonitoring
5.00,1.00,1.00,2.00,0.00,1.00,spMonitoring
0.00,0.00,2.00,1.00,1.00,0.00,spMonitoring
5.00,1.00,8.00,1.00,4.00,3.00,spMonitoring
4.00,0.00,1.00,0.00,0.00,5.00,spMonitoring
15.00,0.00,0.00,0.00,0.00,9.00,spMonitoring
1.00,0.00,2.00,0.00,1.00,2.00,spMonitoring
1.00,0.00,1.00,0.00,1.00,3.00,spMonitoring
11.00,4.00,0.00,6.00,4.00,9.00,spMonitoring
4.00,0.00,0.00,1.00,0.00,2.00,spMonitoring
3.00,0.00,2.00,0.00,2.00,5.00,spMonitoring
3.00,0.00,1.00,0.00,2.00,0.00,expObservation
3.00,2.00,1.00,0.00,6.00,1.00,expObservation
3.00,2.00,1.00,0.00,6.00,1.00,expObservation
1.00,0.00,0.00,0.00,6.00,0.00,expObservation
1.00,0.00,0.00,0.00,6.00,0.00,expObservation
2.00,0.00,0.00,0.00,0.00,0.00,expObservation
1.00,0.00,0.00,0.00,0.00,1.00,expObservation
5.00,2.00,3.00,0.00,2.00,2.00,expObservation
2.00,0.00,0.00,1.00,2.00,0.00,expObservation
0.00,0.00,1.00,0.00,1.00,1.00,expObservation
2.00,0.00,1.00,1.00,0.00,0.00,expObservation
0.00,0.00,3.00,0.00,0.00,0.00,expObservation
0.00,0.00,2.00,0.00,0.00,3.00,expObservation
0.00,2.00,0.00,0.00,3.00,0.00,expObservation
1.00,0.00,0.00,0.00,1.00,0.00,expObservation
0.00,0.00,1.00,1.00,1.00,0.00,expObservation
0.00,0.00,0.00,0.00,1.00,2.00,expObservation
2.00,0.00,1.00,0.00,0.00,1.00,expObservation
1.00,0.00,0.00,0.00,2.00,2.00,expObservation
1.00,0.00,0.00,0.00,2.00,3.00,expObservation
0.00,0.00,0.00,0.00,4.00,0.00,expObservation
1.00,0.00,0.00,0.00,2.00,0.00,expObservation
2.00,1.00,0.00,0.00,0.00,0.00,expObservation
0.00,0.00,0.00,1.00,3.00,2.00,expObservation
2.00,0.00,0.00,0.00,0.00,1.00,expObservation
2.00,0.00,1.00,0.00,6.00,0.00,expObservation
1.00,0.00,0.00,0.00,0.00,1.00,expObservation
8.00,0.00,1.00,0.00,3.00,2.00,expObservation
1.00,0.00,0.00,0.00,1.00,0.00,expObservation
2.00,0.00,2.00,0.00,2.00,0.00,expObservation
0.00,0.00,2.00,0.00,1.00,0.00,expObservation
1.00,0.00,0.00,0.00,3.00,1.00,expObservation
2.00,0.00,1.00,0.00,1.00,1.00,expObservation
0.00,0.00,2.00,0.00,0.00,1.00,expObservation
