@relation biodiversitySpreadsheets_TestSetWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
9,30,3,153,0.019231,0.230769,0.75,0.230769,0.25,0.352941,0.061538,3.75,0.670556
8,31,3,153,0.019231,0.205128,0.727273,0.205128,0.272727,0.32,0.05641,3.636364,0.674167
7,32,3,153,0.019231,0.179487,0.7,0.179487,0.3,0.285714,0.051282,3.5,0.6775
7,32,2,154,0.012821,0.179487,0.777778,0.179487,0.222222,0.291667,0.046154,3.888889,0.72
7,32,1,155,0.00641,0.179487,0.875,0.179487,0.125,0.297872,0.041026,4.375,0.736667
6,33,1,155,0.00641,0.153846,0.857143,0.153846,0.142857,0.26087,0.035897,4.285714,0.78
5,34,1,155,0.00641,0.128205,0.833333,0.128205,0.166667,0.222222,0.030769,4.166667,0.795
4,35,1,155,0.00641,0.102564,0.8,0.102564,0.2,0.181818,0.025641,4,0.81
4,35,0,156,0,0.102564,1,0.102564,0,0.186047,0.020513,?,0.882
3,36,0,156,0,0.076923,1,0.076923,0,0.142857,0.015385,?,0.897
2,37,0,156,0,0.051282,1,0.051282,0,0.097561,0.010256,?,0.92
1,38,0,156,0,0.025641,1,0.025641,0,0.05,0.005128,?,0.98
0,39,0,156,0,0,0,0,0,0,0,?,0.98001
39,0,156,0,1,1,0.2,1,0.8,0.333333,1,1,0
37,2,82,74,0.525641,0.948718,0.310924,0.948718,0.689076,0.468354,0.610256,1.554622,0.01
36,3,77,79,0.49359,0.923077,0.318584,0.923077,0.681416,0.473684,0.579487,1.59292,0.02
36,3,67,89,0.429487,0.923077,0.349515,0.923077,0.650485,0.507042,0.528205,1.747573,0.0225
36,3,66,90,0.423077,0.923077,0.352941,0.923077,0.647059,0.510638,0.523077,1.764706,0.023
36,3,65,91,0.416667,0.923077,0.356436,0.923077,0.643564,0.514286,0.517949,1.782178,0.03
36,3,61,95,0.391026,0.923077,0.371134,0.923077,0.628866,0.529412,0.497436,1.85567,0.035
36,3,60,96,0.384615,0.923077,0.375,0.923077,0.625,0.533333,0.492308,1.875,0.05
36,3,59,97,0.378205,0.923077,0.378947,0.923077,0.621053,0.537313,0.487179,1.894737,0.05
35,4,56,100,0.358974,0.897436,0.384615,0.897436,0.615385,0.538462,0.466667,1.923077,0.06
35,4,55,101,0.352564,0.897436,0.388889,0.897436,0.611111,0.542636,0.461538,1.944444,0.06
35,4,52,104,0.333333,0.897436,0.402299,0.897436,0.597701,0.555556,0.446154,2.011494,0.068
35,4,51,105,0.326923,0.897436,0.406977,0.897436,0.593023,0.56,0.441026,2.034884,0.07
35,4,49,107,0.314103,0.897436,0.416667,0.897436,0.583333,0.569106,0.430769,2.083333,0.073333
35,4,48,108,0.307692,0.897436,0.421687,0.897436,0.578313,0.57377,0.425641,2.108434,0.08
33,6,48,108,0.307692,0.846154,0.407407,0.846154,0.592593,0.55,0.415385,2.037037,0.084661
33,6,47,109,0.301282,0.846154,0.4125,0.846154,0.5875,0.554622,0.410256,2.0625,0.09
33,6,46,110,0.294872,0.846154,0.417722,0.846154,0.582278,0.559322,0.405128,2.088608,0.09
33,6,45,111,0.288462,0.846154,0.423077,0.846154,0.576923,0.564103,0.4,2.115385,0.1
33,6,43,113,0.275641,0.846154,0.434211,0.846154,0.565789,0.573913,0.389744,2.171053,0.11
