@RELATION biodiversitySpreadsheets_whithoutWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,spCatalog,spOccurrence,geneData,spMonitoring}

@DATA
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
1.00,2.00,0.00,0.00,0.00,0.00,spCatalog
1.00,2.00,0.00,0.00,0.00,0.00,spCatalog
3.00,1.00,0.00,1.00,0.00,0.00,spCatalog
3.00,2.00,0.00,1.00,0.00,0.00,spCatalog
121.00,1.00,0.00,0.00,1.00,0.00,spCatalog
8.00,0.00,0.00,0.00,3.00,2.00,spCatalog
22.00,1.00,0.00,2.00,1.00,1.00,spCatalog
7.00,2.00,0.00,1.00,2.00,2.00,spCatalog
2.00,1.00,0.00,0.00,1.00,0.00,spCatalog
9.00,1.00,1.00,0.00,2.00,2.00,spCatalog
3.00,1.00,0.00,0.00,0.00,0.00,spCatalog
2.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,1.00,1.00,0.00,5.00,1.00,spCatalog
3.00,0.00,0.00,1.00,0.00,0.00,spCatalog
3.00,0.00,0.00,0.00,1.00,0.00,spCatalog
5.00,1.00,2.00,0.00,1.00,0.00,spCatalog
9.00,0.00,1.00,0.00,0.00,1.00,spCatalog
2.00,0.00,0.00,1.00,1.00,0.00,spCatalog
7.00,0.00,1.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,2.00,1.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,1.00,0.00,2.00,0.00,spCatalog
6.00,2.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
8.00,5.00,3.00,5.00,17.00,1.00,spOccurrence
0.00,1.00,0.00,0.00,2.00,1.00,spOccurrence
1.00,0.00,0.00,1.00,0.00,2.00,spOccurrence
2.00,0.00,0.00,1.00,4.00,0.00,spOccurrence
6.00,1.00,6.00,1.00,11.00,0.00,spOccurrence
0.00,0.00,0.00,0.00,1.00,1.00,spOccurrence
1.00,0.00,0.00,1.00,4.00,0.00,spOccurrence
0.00,0.00,0.00,0.00,3.00,0.00,spOccurrence
1.00,0.00,0.00,0.00,4.00,0.00,spOccurrence
0.00,2.00,0.00,0.00,2.00,1.00,spOccurrence
0.00,0.00,0.00,0.00,1.00,1.00,spOccurrence
1.00,0.00,0.00,0.00,2.00,0.00,spOccurrence
3.00,0.00,0.00,1.00,5.00,3.00,spOccurrence
1.00,2.00,0.00,1.00,3.00,1.00,spOccurrence
0.00,0.00,0.00,0.00,5.00,1.00,spOccurrence
0.00,0.00,0.00,1.00,0.00,2.00,spOccurrence
2.00,2.00,0.00,0.00,5.00,0.00,spOccurrence
1.00,0.00,0.00,1.00,4.00,3.00,spOccurrence
0.00,1.00,1.00,1.00,0.00,3.00,spOccurrence
0.00,1.00,1.00,1.00,0.00,3.00,spOccurrence
0.00,1.00,1.00,1.00,0.00,3.00,spOccurrence
0.00,0.00,1.00,0.00,3.00,1.00,spOccurrence
0.00,0.00,0.00,0.00,3.00,0.00,spOccurrence
0.00,2.00,0.00,0.00,3.00,0.00,spOccurrence
0.00,0.00,0.00,1.00,2.00,1.00,spOccurrence
0.00,0.00,0.00,1.00,1.00,1.00,spOccurrence
1.00,0.00,0.00,0.00,2.00,0.00,spOccurrence
7.00,1.00,1.00,2.00,12.00,2.00,spOccurrence
1.00,0.00,0.00,0.00,6.00,0.00,spOccurrence
0.00,0.00,0.00,0.00,2.00,0.00,spOccurrence
0.00,1.00,0.00,0.00,3.00,0.00,spOccurrence
0.00,1.00,0.00,0.00,3.00,0.00,spOccurrence
1.00,1.00,0.00,2.00,8.00,3.00,spOccurrence
1.00,0.00,0.00,0.00,0.00,4.00,spOccurrence
0.00,0.00,0.00,1.00,2.00,0.00,spOccurrence
0.00,0.00,0.00,0.00,0.00,2.00,spOccurrence
