@RELATION biodiversitySpreadsheets_whithWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{spCatalog,spOccurrence,geneData,spMonitoring,expObservation}

@DATA
1.29,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.29,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.15,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.36,0.00,spMonitoring
1.33,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.33,0.00,0.00,0.00,0.01,0.01,spMonitoring
1.28,0.06,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.07,0.00,spMonitoring
0.00,0.10,0.00,0.00,0.00,0.14,spMonitoring
0.00,0.10,0.00,0.00,0.00,0.14,spMonitoring
0.00,0.00,0.00,0.00,0.03,0.10,spMonitoring
0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.06,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.60,0.00,spMonitoring
0.09,0.00,0.00,0.00,0.00,0.04,spMonitoring
0.04,0.00,0.00,0.06,0.01,1.09,spMonitoring
0.08,0.00,0.00,0.06,0.00,1.01,spMonitoring
0.08,0.00,0.00,0.06,0.00,1.01,spMonitoring
0.08,0.00,0.00,0.06,0.00,1.01,spMonitoring
0.08,0.00,0.00,0.06,0.00,1.01,spMonitoring
0.00,0.00,0.00,0.00,0.00,0.31,spMonitoring
0.03,0.00,1.25,0.00,0.00,0.00,spMonitoring
0.00,0.00,1.00,0.00,0.00,0.25,spMonitoring
0.06,0.00,0.25,0.00,0.04,0.11,spMonitoring
1.15,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.34,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.19,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.19,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.19,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.36,0.00,spMonitoring
0.00,0.00,1.00,0.00,0.00,0.25,spMonitoring
0.10,0.00,0.00,1.00,0.00,0.03,spMonitoring
0.06,0.00,1.00,0.00,0.00,0.00,spMonitoring
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,1.04,0.00,0.00,0.00,0.00,spMonitoring
